first_page,total,MQL,SQL,Opportunity,Customer,lifecycle_score,mql_pct,sql_pct,opp_pct,cust_pct
https://www.openloyalty.io/technology/cloud-loyalty,2,1,0,1,0,6,50%,0%,50%,0%
https://www.openloyalty.io/role/product,2,1,0,1,0,6,50%,0%,50%,0%
https://www.openloyalty.io/product/customer-gamification-software,5,5,0,0,0,5,100%,0%,0%,0%
https://www.openloyalty.io/webinars/webinar-product-managers-guide-to-loyalty-program-implementation,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/resources/loyalty-program-implementation-a-step-by-step-guide,3,2,1,0,0,5,66%,33%,0%,0%
https://www.openloyalty.io/role/loyalty-marketer,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/insider/how-to-solve-the-build-vs-buy-dilemma-when-building-a-loyalty-solution,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/product/customer-retention-software,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/applications,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/ai-labs,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/insider/business-gamification,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/insider/loyalty-program-liability-with-len-llaguno,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/news/open-loyalty-braze-integration-partnership,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/applications/mobile-loyalty-software,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/insider/loyalty-software-buyers-full-report,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/resources/loyalty-program-benchmark,1,0,0,1,0,5,0%,0%,100%,0%
https://www.openloyalty.io/product/digital-wallet-software,2,1,1,0,0,4,50%,50%,0%,0%
https://www.openloyalty.io/about,4,4,0,0,0,4,100%,0%,0%,0%
https://www.openloyalty.io/insider/how-to-integrate-an-api-first-loyalty-engine-with-your-tech-stack,4,4,0,0,0,4,100%,0%,0%,0%
https://www.openloyalty.io/technology,3,3,0,0,0,3,100%,0%,0%,0%
https://www.openloyalty.io/product/multitenancy,3,3,0,0,0,3,100%,0%,0%,0%
https://www.openloyalty.io/insider/emotional-loyalty-programs-that-connect-deeply-with-customers,1,0,1,0,0,3,0%,100%,0%,0%
https://www.openloyalty.io/insider/loyalty-programs-in-fuel-retail,2,2,0,0,0,2,100%,0%,0%,0%
https://www.openloyalty.io/product/badges,2,2,0,0,0,2,100%,0%,0%,0%
https://www.openloyalty.io/insider/coalition-loyalty-programs,2,2,0,0,0,2,100%,0%,0%,0%
https://www.openloyalty.io/insider/top-7-cpg-loyalty-programs,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/how-to-extend-your-product-with-api-first-loyalty-and-gamification-features,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/clients/ottopoint,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/how-to-build-loyalty-program,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/loyalty-builders,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/how-to-build-a-successful-mall-loyalty-program-an-interview-with-chayya-sakhuja,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/how-the-nike-customer-loyalty-program-works,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/the-rise-of-blockchain-loyalty-programs-with-cezary-olejarczyk,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/client-retention-management-strategies,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/product/prepaid-gift-card-software,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/loyalty-rewards-management,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/successful-referral-program,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/product/tier-loyalty-program,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/automotive-loyalty-programs,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/industries/retail,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/redemption-rate,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/resources/loyalty-program-software-rfp,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/clients/club-brugge-full-case-study,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/loyalty-and-crm,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/insider/loyalty-program-management,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/webinars/video-how-retailers-use-gamified-loyalty-to-outperform-competitors,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/product/customer-loyalty-analytics,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/%20(Open%20Loyalty),1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/product/games-of-chance,1,1,0,0,0,1,100%,0%,0%,0%
https://www.openloyalty.io/industries/qsr,1,1,0,0,0,1,100%,0%,0%,0%
