
==================================================================================================================================

==================================================================================================================================
  January 2026  (68 deals)
==================================================================================================================================
Deal                            First Page                                               GSC Date        Top Keyword                                     Clicks      Impr     Pos
ÖÖD House                       https://www.openloyalty.io/applications/white-label-loy  2026-01-22      whitelabel loyalty                                   1         1       2
Abuja Continental Hotel         https://www.openloyalty.io/                              2026-01-25      open loyalty                                        14        24     2.3
Paynovate                       https://www.openloyalty.io/pricing                       2026-01-26      open loyalty pricing                                 1         5    14.8
Krom Bank                       https://www.openloyalty.io/pricing                       2026-01-26      open loyalty pricing                                 1         5    14.8
LINK Business                   https://www.openloyalty.io/pricing                       2026-01-26      open loyalty pricing                                 1         5    14.8
Webby Group                     https://www.openloyalty.io/pricing                       2026-01-26      open loyalty pricing                                 1         5    14.8
Harvest Loop                    https://www.openloyalty.io/pricing                       2026-01-26      open loyalty pricing                                 1         5    14.8
Beam Living                     https://www.openloyalty.io/pricing                       2026-01-26      open loyalty pricing                                 1         5    14.8
Мультимаркет Аврора             https://www.openloyalty.io/resources/10-best-mobile-loy  2026-01-27      loyalty app                                          1        83     3.0
Katalyst Software Services Lim  https://www.openloyalty.io/resources/10-best-mobile-loy  2026-01-27      loyalty app                                          1        83     3.0
KING - Altea Up                 https://www.openloyalty.io/resources/10-best-mobile-loy  2026-01-27      loyalty app                                          1        83     3.0
Lobah                           https://www.openloyalty.io/resources/10-best-mobile-loy  2026-01-27      loyalty app                                          1        83     3.0
Huntington National Bank        https://www.openloyalty.io/resources/10-best-mobile-loy  2026-01-27      loyalty app                                          1        83     3.0
Raiffeisen Bank Romania         https://www.openloyalty.io/resources/10-best-mobile-loy  2026-01-27      loyalty app                                          1        83     3.0
Techonomy (KNVB)                https://www.openloyalty.io/resources/10-best-mobile-loy  2026-01-27      loyalty app                                          1        83     3.0
etlobo.com                      https://www.openloyalty.io/resources/10-best-mobile-loy  2026-01-27      loyalty app                                          1        83     3.0
Othaim Markets                  https://www.openloyalty.io/                              2026-01-28      open loyalty                                        28        70     3.2
Cashlib                         https://www.openloyalty.io/es                            2026-01-29      open loyalty                                         1         2       1
Saigeware                       https://www.openloyalty.io/es                            2026-01-29      open loyalty                                         1         2       1
Class Act Sports                https://www.openloyalty.io/es                            2026-01-29      open loyalty                                         1         2       1
Apple Leasing                   https://www.openloyalty.io/es                            2026-01-29      open loyalty                                         1         2       1
Yape                            https://www.openloyalty.io/es                            2026-01-29      open loyalty                                         1         2       1
Truminds Software Systems       https://www.openloyalty.io/insider/gamification-case-st  2026-01-30      gamification case studies                            0         5     2.6
Nova Supermarkt                 https://www.openloyalty.io/insider/gamification-case-st  2026-01-30      gamification case studies                            0         5     2.6
Booksy                          https://www.openloyalty.io/insider/gamification-case-st  2026-01-30      gamification case studies                            0         5     2.6
Hellas Direct                   https://www.openloyalty.io/insider/gamification-case-st  2026-01-30      gamification case studies                            0         5     2.6

==================================================================================================================================
  February 2026  (43 deals)
==================================================================================================================================
Deal                            First Page                                               GSC Date        Top Keyword                                     Clicks      Impr     Pos
----------------------------------------------------------------------------------------------------------------------------------
Doylestown Auto Repair          https://www.openloyalty.io/applications/white-label-loy  2026-02-01      loyalty program software                             0        39    55.2
Avolut                          https://www.openloyalty.io/pricing                       2026-02-03      open loyalty                                         1        95     1.0
Phoenix Games                   https://www.openloyalty.io/pricing                       2026-02-03      open loyalty                                         1        95     1.0
The Ascott Limited              https://www.openloyalty.io/                              2026-02-04      open loyalty                                        31        72     1.5
Costa Mesa Event Rentals        https://www.openloyalty.io/                              2026-02-04      open loyalty                                        31        72     1.5
Vision Group                    https://www.openloyalty.io/                              2026-02-04      open loyalty                                        31        72     1.5
Insight                         https://www.openloyalty.io/                              2026-02-04      open loyalty                                        31        72     1.5
Cold Vision                     https://www.openloyalty.io/                              2026-02-09      open loyalty                                        21        55     2.0
ATCO                            https://www.openloyalty.io/                              2026-02-09      open loyalty                                        21        55     2.0
Carey Main                      https://www.openloyalty.io/                              2026-02-09      open loyalty                                        21        55     2.0
Zee Entertainment Enterprises   https://www.openloyalty.io/                              2026-02-10      open loyalty                                        22        66     1.9
Westay                          https://www.openloyalty.io/product/loyalty-campaign-sof  2026-02-11      loyalty campaign                                     0         6      28
Embryo                          https://www.openloyalty.io/product/loyalty-campaign-sof  2026-02-11      loyalty campaign                                     0         6      28
IceWEB                          https://www.openloyalty.io/                              2026-02-12      open loyalty                                        25        58     2.1
Episode Six                     https://www.openloyalty.io/                              2026-02-12      open loyalty                                        25        58     2.1
Iaminweb (Vertical Sport)       https://www.openloyalty.io/                              2026-02-12      open loyalty                                        25        58     2.1
Digit88 Technologies            https://www.openloyalty.io/                              2026-02-16      open loyalty                                        22        56     2.6
Taxi EU (Austrosoft)            https://www.openloyalty.io/                              2026-02-16      open loyalty                                        22        56     2.6
Skin Smart                      https://www.openloyalty.io/                              2026-02-16      open loyalty                                        22        56     2.6
Nutracheck                      https://www.openloyalty.io/es                            2026-02-17      open loyalty                                         1         4       1
iWallet                         https://www.openloyalty.io/es                            2026-02-17      open loyalty                                         1         4       1
Wisetack                        https://www.openloyalty.io/es                            2026-02-17      open loyalty                                         1         4       1
Travel with AI                  https://www.openloyalty.io/                              2026-02-18      open loyalty                                        21        57     1.2
Santa Browser                   https://www.openloyalty.io/                              2026-02-18      open loyalty                                        21        57     1.2
TNAA                            https://www.openloyalty.io/                              2026-02-18      open loyalty                                        21        57     1.2
Join Ventures                   https://www.openloyalty.io/product/loyalty-card-system   2026-02-19      loyalty cards software                               1         1       5
Itaú Unibanco                   https://www.openloyalty.io/product/loyalty-card-system   2026-02-19      loyalty cards software                               1         1       5
The Mail Center                 https://www.openloyalty.io/product/loyalty-card-system   2026-02-19      loyalty cards software                               1         1       5
CAC International Bank          https://www.openloyalty.io/book-a-demo-contact           2026-02-20      (no GSC data)                                        0         0       -
Universo                        https://www.openloyalty.io/                              2026-02-21      open loyalty                                        10        24     1.5
everythinganimee                https://www.openloyalty.io/                              2026-02-23      open loyalty                                        19        58     1.9
Gems NY                         https://www.openloyalty.io/                              2026-02-23      open loyalty                                        19        58     1.9
The MRG Group                   https://www.openloyalty.io/                              2026-02-23      open loyalty                                        19        58     1.9
Grapeline                       https://www.openloyalty.io/                              2026-02-23      open loyalty                                        19        58     1.9
The United States Playing Card  https://www.openloyalty.io/                              2026-02-23      open loyalty                                        19        58     1.9
Emblemat.com                    https://www.openloyalty.io/                              2026-02-23      open loyalty                                        19        58     1.9
Ever Supermarket                https://www.openloyalty.io/book-a-demo-contact           2026-02-25      (no GSC data)                                        0         0       -
Onsurity                        https://www.openloyalty.io/book-a-demo-contact           2026-02-25      (no GSC data)                                        0         0       -
GO App                          https://www.openloyalty.io/book-a-demo-contact           2026-02-25      (no GSC data)                                        0         0       -
GCI Hospitality                 https://www.openloyalty.io/product/coupon-software       2026-02-27      coupon software                                      0        11    15.8
FatFace [Next Brand]            https://www.openloyalty.io/product/coupon-software       2026-02-27      coupon software                                      0        11    15.8
ProjektBauer                    https://www.openloyalty.io/product/coupon-software       2026-02-27      coupon software                                      0        11    15.8
Strickland Brothers             https://www.openloyalty.io/product/coupon-software       2026-02-27      coupon software                                      0        11    15.8

==================================================================================================================================
  March 2026  (37 deals)
==================================================================================================================================
Deal                            First Page                                               GSC Date        Top Keyword                                     Clicks      Impr     Pos
----------------------------------------------------------------------------------------------------------------------------------
Serpico Trading                 https://www.openloyalty.io/insider/ecommerce-loyalty-pr  2026-03-02      ecommerce customer loyalty                           0        18     4.6
POYNTO                          https://www.openloyalty.io/insider/ecommerce-loyalty-pr  2026-03-02      ecommerce customer loyalty                           0        18     4.6
Wolfe                           https://www.openloyalty.io/insider/ecommerce-loyalty-pr  2026-03-02      ecommerce customer loyalty                           0        18     4.6
The Great Frog London           https://www.openloyalty.io/                              2026-03-03      open loyalty                                        21        55     2.4
ICATECH                         https://www.openloyalty.io/                              2026-03-03      open loyalty                                        21        55     2.4
CDL Legal                       https://www.openloyalty.io/                              2026-03-03      open loyalty                                        21        55     2.4
Home Credit Philippines         https://www.openloyalty.io/                              2026-03-03      open loyalty                                        21        55     2.4
Food Allergy Institute          https://www.openloyalty.io/                              2026-03-06      open loyalty                                        23        59     1.7
GroundTruth                     https://www.openloyalty.io/insider/business-gamificatio  2026-03-07      gamification platforms for business                  0        14    14.2
Gruppo Farina                   https://www.openloyalty.io/insider/loyalty-program-metr  2026-03-09      customer loyalty analytics                           0        12      15
Urban Outfitters                https://www.openloyalty.io/insider/loyalty-program-metr  2026-03-09      customer loyalty analytics                           0        12      15
APARBooks                       https://www.openloyalty.io/insider/loyalty-program-metr  2026-03-09      customer loyalty analytics                           0        12      15
King Saud bin Abdulaziz Univer  https://www.openloyalty.io/insider/coupon-management-so  2026-03-10      best platforms for merchant-verified coupon c        0         8     1.1
HEINEKEN (Global Shared Servic  https://www.openloyalty.io/insider/coupon-management-so  2026-03-10      best platforms for merchant-verified coupon c        0         8     1.1
Shepherd Neame Ltd (The Cask &  https://www.openloyalty.io/insider/coupon-management-so  2026-03-10      best platforms for merchant-verified coupon c        0         8     1.1
Mitsubishi                      https://www.openloyalty.io/insider/coupon-management-so  2026-03-10      best platforms for merchant-verified coupon c        0         8     1.1
HONEYMOON                       https://www.openloyalty.io/insider/coupon-management-so  2026-03-10      best platforms for merchant-verified coupon c        0         8     1.1
Mac Papers                      https://www.openloyalty.io/applications/saas-enrichment  2026-03-11      customer loyalty program software                    0        44    28.2
Spectora                        https://www.openloyalty.io/applications/saas-enrichment  2026-03-11      customer loyalty program software                    0        44    28.2
Mintos                          https://www.openloyalty.io/resources/10-best-gamificati  2026-03-12      gaming loyalty programs                              1         1       1
District Dispo                  https://www.openloyalty.io/resources/10-best-gamificati  2026-03-12      gaming loyalty programs                              1         1       1
Revzion.io                      https://www.openloyalty.io/resources/10-best-gamificati  2026-03-12      gaming loyalty programs                              1         1       1
AO Sports                       https://www.openloyalty.io/resources/10-best-gamificati  2026-03-12      gaming loyalty programs                              1         1       1
Casio Europe                    https://www.openloyalty.io/de                            2026-03-13      open loyalty                                         1         5       1
Salmon Group                    https://www.openloyalty.io/de                            2026-03-13      open loyalty                                         1         5       1
Abenson                         https://www.openloyalty.io/book-a-demo-contact           2026-03-18      (no GSC data)                                        0         0       -
Pacific Smoke International     https://www.openloyalty.io/book-a-demo-contact           2026-03-18      (no GSC data)                                        0         0       -
Getjobbr                        https://www.openloyalty.io/book-a-demo-contact           2026-03-18      (no GSC data)                                        0         0       -
G2A                             https://www.openloyalty.io/insider/coupon-management-so  2026-03-20      coupon dealers                                       1         5     6.4
D2G Group                       https://www.openloyalty.io/insider/coupon-management-so  2026-03-20      coupon dealers                                       1         5     6.4
Raissig                         https://www.openloyalty.io/pricing                       2026-03-23      open loyalty pricing                                 1         1       1
cgexchange.org                  https://www.openloyalty.io/pricing                       2026-03-23      open loyalty pricing                                 1         1       1
Traffic Label                   https://www.openloyalty.io/book-a-demo-contact           2026-03-24      (no GSC data)                                        0         0       -
NN Group                        https://www.openloyalty.io/book-a-demo-contact           2026-03-24      (no GSC data)                                        0         0       -
Numinous                        https://www.openloyalty.io/book-a-demo-contact           2026-03-26      (no GSC data)                                        0         0       -
Juulchin World Tours            https://www.openloyalty.io/                              2026-03-30      open loyalty                                        22        67     2.6
Mutua Madrilena                 https://www.openloyalty.io/                              2026-03-30      open loyalty                                        22        67     2.6

==================================================================================================================================
  April 2026  (32 deals)
==================================================================================================================================
Deal                            First Page                                               GSC Date        Top Keyword                                     Clicks      Impr     Pos
----------------------------------------------------------------------------------------------------------------------------------
unit7.sa                        https://www.openloyalty.io/                              2026-03-30      open loyalty                                        22        67     2.6
Grupo Diria                     https://www.openloyalty.io/resources/loyalty-program-tr  2026-04-05      loyalty report 2026                                  1         1       2
Vodoke                          https://www.openloyalty.io/                              2026-04-06      open loyalty                                         8        24     2.1
savi Spain                      https://www.openloyalty.io/                              2026-04-06      open loyalty                                         8        24     2.1
Hyperoll                        https://www.openloyalty.io/                              2026-04-06      open loyalty                                         8        24     2.1
Soccer Resilience               https://www.openloyalty.io/                              2026-04-06      open loyalty                                         8        24     2.1
Triver                          https://www.openloyalty.io/                              2026-04-07      open loyalty                                        14        52     3.1
IDC.Clinic                      https://www.openloyalty.io/insider/headless-loyalty-sof  2026-04-08      headless loyalty program                             0         3     1.3
IDC.Clinic                      https://www.openloyalty.io/insider/headless-loyalty-sof  2026-04-08      headless loyalty program                             0         3     1.3
Moneris                         https://www.openloyalty.io/insider/headless-loyalty-sof  2026-04-08      headless loyalty program                             0         3     1.3
Diamonds Factory                https://www.openloyalty.io/es                            2026-04-10      open loyalty                                         1         5       1
ENRIQUE TOMÁS                   https://www.openloyalty.io/es                            2026-04-10      open loyalty                                         1         5       1
Nubank                          https://www.openloyalty.io/es                            2026-04-10      open loyalty                                         1         5       1
Citylink                        https://www.openloyalty.io/insider/healthcare-loyalty-p  2026-04-15      patient loyalty                                      0         7    22.1
Retailigent (ArchWell Health)   https://www.openloyalty.io/insider/healthcare-loyalty-p  2026-04-15      patient loyalty                                      0         7    22.1
Helfy                           https://www.openloyalty.io/                              2026-04-16      open loyalty                                        15        41     3.0
C.A. Osasuna (4y)               https://www.openloyalty.io/                              2026-04-16      open loyalty                                        15        41     3.0
Alsulaiman Group                https://www.openloyalty.io/                              2026-04-19      open loyalty                                         9        22     2.1
Carter & George                 https://www.openloyalty.io/role/developers               2026-04-20      open loyalty                                         0        20       1
Fariki                          https://www.openloyalty.io/                              2026-04-21      open loyalty                                        36        80     2.1
Shackleton                      https://www.openloyalty.io/                              2026-04-21      open loyalty                                        36        80     2.1
Goodwill Southern California    https://www.openloyalty.io/                              2026-04-21      open loyalty                                        36        80     2.1
Schedule35                      https://www.openloyalty.io/book-a-demo-contact           2026-04-22      (no GSC data)                                        0         0       -
Ladurée México                  https://www.openloyalty.io/                              2026-04-24      open loyalty                                         7        32     2.8
Game Changers Sports Digital T  https://www.openloyalty.io/technology/loyalty-program-a  2026-04-26      open loyalty                                         0        21     1.1
United Refrigeration            https://www.openloyalty.io/insider/loyalty-program-liab  2026-04-27      kyros loyalty                                        0         3     3.7
R-Class                         https://www.openloyalty.io/                              2026-04-28      open loyalty                                        26        58     2.8
MySky                           https://www.openloyalty.io/                              2026-04-28      open loyalty                                        26        58     2.8
GoodWe                          https://www.openloyalty.io/book-a-demo-contact           2026-04-29      (no GSC data)                                        0         0       -
Daiso USA                       https://www.openloyalty.io/book-a-demo-contact           2026-04-29      (no GSC data)                                        0         0       -
VICE Golf                       https://www.openloyalty.io/book-a-demo-contact           2026-04-29      (no GSC data)                                        0         0       -
Aramark                         https://www.openloyalty.io/book-a-demo-contact           2026-04-29      (no GSC data)                                        0         0       -

==================================================================================================================================
  May 2026 (1-22)  (33 deals)
==================================================================================================================================
Deal                            First Page                                               GSC Date        Top Keyword                                     Clicks      Impr     Pos
----------------------------------------------------------------------------------------------------------------------------------
Franchise Payments              https://www.openloyalty.io/                              2026-05-01      open loyalty                                        10        27     2.7
Tag Coffee Co                   https://www.openloyalty.io/                              2026-05-04      open loyalty                                        21        45     2.2
CASTAÑO                         https://www.openloyalty.io/book-a-demo-contact           2026-05-05      (no GSC data)                                        0         0       -
Anytime Fitness Malaysia        https://www.openloyalty.io/book-a-demo-contact           2026-05-05      (no GSC data)                                        0         0       -
Hilton                          https://www.openloyalty.io/                              2026-05-06      open loyalty                                        25        67     3.0
Paulo & Suzanne                 https://www.openloyalty.io/                              2026-05-06      open loyalty                                        25        67     3.0
Compro e Jataí                  https://www.openloyalty.io/                              2026-05-06      open loyalty                                        25        67     3.0
Compro e Jataí                  https://www.openloyalty.io/                              2026-05-06      open loyalty                                        25        67     3.0
Kulu                            https://www.openloyalty.io/insider/gamification-healthc  2026-05-07      healthcare gamification market                       0        17     9.2
VantageView                     https://www.openloyalty.io/insider/gamification-healthc  2026-05-07      healthcare gamification market                       0        17     9.2
KB PRASAC Bank Plc.             https://www.openloyalty.io/pricing                       2026-05-08      open loyalty                                         1        26       1
Croft Park Café                 https://www.openloyalty.io/pricing                       2026-05-08      open loyalty                                         1        26       1
Amitours                        https://www.openloyalty.io/pricing                       2026-05-08      open loyalty                                         1        26       1
Cooley's Circle                 https://www.openloyalty.io/pricing                       2026-05-08      open loyalty                                         1        26       1
C-MonEtiquette                  https://www.openloyalty.io/                              2026-05-11      open loyalty                                        20        46     2.2
AZA Group                       https://www.openloyalty.io/                              2026-05-12      open loyalty                                        30        65     1.6
Swaziland Building Society      https://www.openloyalty.io/                              2026-05-12      open loyalty                                        30        65     1.6
Legrand                         https://www.openloyalty.io/                              2026-05-12      open loyalty                                        30        65     1.6
Modon                           https://www.openloyalty.io/                              2026-05-13      open loyalty                                        23        64     1.9
Artefact                        https://www.openloyalty.io/                              2026-05-14      open loyalty                                        15        46     2.1
Galderma                        https://www.openloyalty.io/                              2026-05-14      open loyalty                                        15        46     2.1
UMAREX Sportwaffen              https://www.openloyalty.io/                              2026-05-14      open loyalty                                        15        46     2.1
Carpe                           https://www.openloyalty.io/                              2026-05-15      open loyalty                                         7        35     2.2
Believe                         https://www.openloyalty.io/                              2026-05-15      open loyalty                                         7        35     2.2
FTG Development                 https://www.openloyalty.io/                              2026-05-17      open loyalty                                        11        21     1.5
Ignitis                         https://www.openloyalty.io/insider/coupon-management-so  2026-05-18      coupon management app                                0         5       3
The Miles Consultancy           https://www.openloyalty.io/insider/coupon-management-so  2026-05-18      coupon management app                                0         5       3
WePartner Group                 https://www.openloyalty.io/insider/coupon-management-so  2026-05-18      coupon management app                                0         5       3
El Cielo                        https://www.openloyalty.io/                              2026-05-19      open loyalty                                        14        44     1.8
IMEX GROUP                      https://www.openloyalty.io/                              2026-05-19      open loyalty                                        14        44     1.8
Gjensidige                      https://www.openloyalty.io/book-a-demo-contact           2026-05-22      (no GSC data)                                        0         0       -
The FIFTH                       https://www.openloyalty.io/book-a-demo-contact           2026-05-22      (no GSC data)                                        0         0       -
Via Trading                     https://www.openloyalty.io/book-a-demo-contact           2026-05-22      (no GSC data)                                        0         0       -

==================================================================================================================================
Done.
