# SECTION 1: TOP KEYWORDS (by total MQL+ contacts)
keyword,total_contacts,mqls,sqls,opps,customers,top_page_1,top_page_1_count,top_page_2,top_page_2_count,top_countries
loyalty program app,4,3,0,1,0,https://www.openloyalty.io/resources/10-best-mobile-loyalty-program-apps,4,,0,"Saudi Arabia(1), Nigeria(1), Turkey(1)"
loyalty platform,4,3,0,1,0,https://www.openloyalty.io/applications/saas-enrichment,2,https://www.openloyalty.io/technology/loyalty-program-api,1,"Belgium(2), Egypt(1), Mexico(1)"
does open loyalty support gamification mechanics and behavioral rewards for driving customer engagement across digital touchpoints?,4,0,0,4,0,https://www.openloyalty.io/product-sheet,2,https://www.openloyalty.io/role/product,1,"Germany(1), United States(1), Estonia(1)"
coupon management software,3,3,0,0,0,https://www.openloyalty.io/product/coupon-software,1,https://www.openloyalty.io/product/vouchers,1,"India(1), United Kingdom(1), Tanzania(1)"
open source loyalty platform,3,2,1,0,0,https://www.openloyalty.io/,2,https://www.openloyalty.io/insider/best-loyalty-software-comparison-guide,1,"Thailand(1), Singapore(1), Ghana(1)"
loyalty engine,3,3,0,0,0,https://www.openloyalty.io/,2,https://www.openloyalty.io/pricing,1,"India(1), Netherlands(1), Greece(1)"
app loyalty program,3,3,0,0,0,https://www.openloyalty.io/,2,https://www.openloyalty.io/resources/10-best-mobile-loyalty-program-apps,1,United Arab Emirates(3)
best customer loyalty program software,3,3,0,0,0,https://www.openloyalty.io/pricing,2,https://www.openloyalty.io/insider/best-loyalty-software-comparison-guide,1,"India(1), United States(1), Malaysia(1)"
loyalty pricing,3,3,0,0,0,https://www.openloyalty.io/pricing,3,,0,"Malaysia(2), Canada(1)"
10-benefits-outsourcing-customer-loyalty-retail-programs,3,3,0,0,0,https://www.openloyalty.io/insider/best-retail-loyalty-programs,3,,0,United States(3)
digital loyalty platform cost per user,3,1,0,2,0,https://www.openloyalty.io/pricing,3,,0,"United States(2), Colombia(1)"
openloyalty.io,3,1,0,2,0,https://www.openloyalty.io/applications,1,https://www.openloyalty.io/pricing,1,"Belgium(1), Cambodia(1), Mexico(1)"
customer loyalty program,3,2,0,1,0,https://www.openloyalty.io/,3,,0,"India(1), Australia(1), Brazil(1)"
loyalty program software open source,2,2,0,0,0,https://www.openloyalty.io/product/reward-management-system,1,https://www.openloyalty.io/pricing,1,Hong Kong(2)
company rewards program,2,2,0,0,0,https://www.openloyalty.io/,1,https://www.openloyalty.io/insider/best-retail-loyalty-programs,1,"Singapore(1), South Africa(1)"
loyalty management system,2,2,0,0,0,https://www.openloyalty.io/product/loyalty-points-system,1,https://www.openloyalty.io/,1,"Malaysia(1), Kuwait(1)"
apparel loyalty and reward solution,2,1,1,0,0,https://www.openloyalty.io/insider/ecommerce-loyalty-programs,1,https://www.openloyalty.io/resources/loyalty-program-implementation-a-step-by-step-guide,1,"Pakistan(1), United States(1)"
membership programs software,2,2,0,0,0,https://www.openloyalty.io/book-a-demo,2,,0,"United States(1), Germany(1)"
white label loyalty program,2,0,0,2,0,https://www.openloyalty.io/applications/white-label-loyalty,2,,0,"Malta(1), United States(1)"
client rewards program,2,2,0,0,0,https://www.openloyalty.io/,1,https://www.openloyalty.io/book-a-demo,1,"Chile(1), Maldives(1)"
customer loyalty management software,2,2,0,0,0,https://www.openloyalty.io/,2,,0,"Bangladesh(1), Libyan Arab Jamahiriya(1)"
loyalty program open source,2,2,0,0,0,https://www.openloyalty.io/,1,https://www.openloyalty.io/pricing,1,"Philippines(1), Mexico(1)"
customer loyalty management software solutions,2,2,0,0,0,https://www.openloyalty.io/,2,,0,"Russian Federation(1), Egypt(1)"
best loyalty software,2,2,0,0,0,https://www.openloyalty.io/product/loyalty-points-system,1,https://www.openloyalty.io/,1,"United States(1), Netherlands(1)"
customer loyalty cloud,2,2,0,0,0,https://www.openloyalty.io/applications/saas-enrichment,1,https://www.openloyalty.io/insider/best-loyalty-software-comparison-guide,1,"United States(1), Thailand(1)"
crm loyalty program,2,1,0,1,0,https://www.openloyalty.io/,2,,0,Singapore(2)
affiliate referral program software,2,2,0,0,0,https://www.openloyalty.io/insider/best-referral-software,2,,0,United States(2)
loyalty management software,2,2,0,0,0,https://www.openloyalty.io/,1,https://www.openloyalty.io/pricing,1,"Germany(1), Netherlands(1)"
loyalty marketing software,2,2,0,0,0,https://www.openloyalty.io/,2,,0,United States(2)
boost loyalty io,2,1,1,0,0,https://www.openloyalty.io/industries/ecommerce,1,https://www.openloyalty.io/loyalty-builders,1,"United Arab Emirates(1), Iran (Islamic Republic Of)(1)"
loyality program,2,2,0,0,0,https://www.openloyalty.io/,2,,0,Egypt(2)
loyalty program website,2,2,0,0,0,https://www.openloyalty.io/pricing,1,https://www.openloyalty.io/,1,"Sri Lanka(1), Canada(1)"
loyalty and rewards platform,2,2,0,0,0,https://www.openloyalty.io/pricing,1,https://www.openloyalty.io/,1,"Saudi Arabia(1), Indonesia(1)"
app based loyalty programs,2,2,0,0,0,https://www.openloyalty.io/resources/10-best-mobile-loyalty-program-apps,2,,0,"United Kingdom(1), United States(1)"
coupon management system,2,2,0,0,0,https://www.openloyalty.io/product/coupon-software,2,,0,"Saudi Arabia(1), United Arab Emirates(1)"
gamification rewards program,2,0,0,2,0,https://www.openloyalty.io/insider/10-best-gamification-loyalty-programs-full-report,1,https://www.openloyalty.io/resources/10-best-gamification-loyalty-programs,1,"Brazil(1), Canada(1)"
loyalty program technology,2,2,0,0,0,https://www.openloyalty.io/pricing,2,,0,"Poland(1), Australia(1)"
loyalty cashback,2,2,0,0,0,https://www.openloyalty.io/product/cashback,2,,0,"France(1), Brazil(1)"
loyalty program examples,2,2,0,0,0,https://www.openloyalty.io/insider/restaurant-loyalty-programs-10-successful-examples,2,,0,"Viet Nam(1), India(1)"
open loyalty platform features,2,1,0,1,0,https://www.openloyalty.io/product-sheet,2,,0,"Ireland(1), United States(1)"
best open source loyalty program software,2,2,0,0,0,https://www.openloyalty.io/pricing,2,,0,United States(2)
beauty insider,2,1,0,1,0,https://www.openloyalty.io/insider/sephora-beauty-insider,2,,0,"Brazil(1), Argentina(1)"
loyalty program white label,2,2,0,0,0,https://www.openloyalty.io/applications/white-label-loyalty,2,,0,"Mexico(1), India(1)"
crm and loyalty programs,2,1,0,1,0,https://www.openloyalty.io/product/loyalty-program-crm-software,1,https://www.openloyalty.io/,1,Singapore(2)
loyalty card software,2,2,0,0,0,https://www.openloyalty.io/,2,,0,"United Kingdom(1), India(1)"
loyalty api,2,1,0,1,0,https://www.openloyalty.io/technology/loyalty-program-api,2,,0,"United Arab Emirates(1), India(1)"
loyalty program saas,2,0,1,1,0,https://www.openloyalty.io/applications/saas-enrichment,2,,0,"Poland(1), Egypt(1)"
brand loyalty app,2,2,0,0,0,https://www.openloyalty.io/,2,,0,Netherlands(2)
custom loyalty program,2,2,0,0,0,https://www.openloyalty.io/,2,,0,"Philippines(1), Germany(1)"
automated coupon systems,2,2,0,0,0,https://www.openloyalty.io/product/coupon-software,1,https://www.openloyalty.io/insider/coupon-management-software,1,United States(2)
cashback software,2,2,0,0,0,https://www.openloyalty.io/product/cashback,2,,0,"Nigeria(1), Netherlands(1)"
open loyalty api,2,2,0,0,0,https://www.openloyalty.io/technology/loyalty-program-api,1,https://www.openloyalty.io/,1,"Georgia(1), Cyprus(1)"
loyalty program platforms,2,0,0,2,0,https://www.openloyalty.io/insider/best-loyalty-software-comparison-guide,1,https://www.openloyalty.io/,1,"Canada(1), South Africa(1)"
customer loyalty system,2,2,0,0,0,https://www.openloyalty.io/,2,,0,Mexico(2)
loyalty tech,1,1,0,0,0,https://www.openloyalty.io/technology,1,,0,Nigeria(1)
fuel loyalty programs,1,1,0,0,0,https://www.openloyalty.io/insider/loyalty-programs-in-fuel-retail,1,,0,Mauritius(1)
crm loyalty solutions company dubai,1,1,0,0,0,https://www.openloyalty.io/,1,,0,Singapore(1)
rewards program platform,1,1,0,0,0,https://www.openloyalty.io/book-a-demo,1,,0,Viet Nam(1)
avg white label software program,1,1,0,0,0,https://www.openloyalty.io/applications/white-label-loyalty,1,,0,United States(1)
loyalty rewards management system,1,1,0,0,0,https://www.openloyalty.io/product/reward-management-system,1,,0,Australia(1)
cpg loyalty programs,1,1,0,0,0,https://www.openloyalty.io/insider/top-7-cpg-loyalty-programs,1,,0,Iran (Islamic Republic Of)(1)
banks with reward points,1,0,0,1,0,https://www.openloyalty.io/insider/bank-loyalty-programs-10-successful-examples-2022,1,,0,Poland(1)
automated loyalty,1,1,0,0,0,https://www.openloyalty.io/,1,,0,Canada(1)
loyalty program software for restaurants,1,1,0,0,0,https://www.openloyalty.io/insider/restaurant-loyalty-programs-10-successful-examples,1,,0,Canada(1)
customer rewards program software,1,1,0,0,0,https://www.openloyalty.io/pricing,1,,0,India(1)
best customer loyalty solution,1,0,1,0,0,https://www.openloyalty.io/,1,,0,Egypt(1)
digital wallet loyalty programs,1,0,1,0,0,https://www.openloyalty.io/product/digital-wallet-software,1,,0,United Kingdom(1)
best loyalty program software,1,1,0,0,0,https://www.openloyalty.io/,1,,0,Chile(1)
healthcare loyalty programs,1,1,0,0,0,https://www.openloyalty.io/insider/healthcare-loyalty-programs,1,,0,United States(1)


# SECTION 2: TOP FIRST-SEEN PAGES (by total MQL+ contacts)
first_page,total_contacts,mqls,sqls,opps,customers,top_keyword_1,top_keyword_1_count,top_keyword_2,top_keyword_2_count,top_keyword_3,top_keyword_3_count
https://www.openloyalty.io/,750,491,31,220,8,open loyalty,304,openloyalty,23,,0
https://www.openloyalty.io/pricing,124,98,2,24,0,open loyalty,46,open loyalty pricing,9,openloyalty,7
https://www.openloyalty.io/book-a-demo-contact,74,12,0,62,0,,0,,0,,0
https://www.openloyalty.io/book-a-demo,51,45,3,3,0,open loyalty,8,#loyalty,7,custom rewards program,5
https://www.openloyalty.io/applications/white-label-loyalty,43,35,1,7,0,best white label loyalty app,11,white label loyalty,9,,0
https://www.openloyalty.io/technology/loyalty-program-api,40,32,1,7,0,open loyalty,5,customer loyalty program software,4,,0
https://www.openloyalty.io/insider/best-loyalty-software-comparison-guide,34,22,4,8,0,"""customer loyalty platform"",2,loyalty platform providers,1,,0
https://www.openloyalty.io/es,25,15,0,10,0,open loyalty,13,loyalty,2,,0
https://www.openloyalty.io/product/loyalty-points-system,22,15,0,7,0,loyalty points,7,api loyalty program,2,,0
https://www.openloyalty.io/insider/restaurant-loyalty-programs-10-successful-examples,15,13,0,2,0,loyalty program examples,2,loyalty program software for restaurants,1,restaurant loyalty program software,1
https://www.openloyalty.io/resources/10-best-mobile-loyalty-program-apps,14,11,0,3,0,loyalty program app,4,app based loyalty programs,2,allapps.io,1
https://www.openloyalty.io/applications/saas-enrichment,14,7,2,5,0,loyalty platform,2,loyalty program saas,2,customer loyalty platform,1
https://www.openloyalty.io/product/coupon-software,13,10,1,2,0,coupon management system,2,coupon management software,1,,0
https://www.openloyalty.io/product/vouchers,13,11,0,2,0,voucher management system,4,e-voucher management system,1,coupon management software,1
https://www.openloyalty.io/resources/loyalty-program-trends,12,5,0,5,2,customer loyalty program trends 2026,1,key features to look for in retail loyalty program app 2025 or 2026,1,,0
https://www.openloyalty.io/resources/10-best-gamification-loyalty-programs,11,6,0,5,0,gamified loyalty program,1,gamification loyalty program examples,1,ai powered loyalty programs,1
https://www.openloyalty.io/product/reward-management-system,9,7,0,2,0,loyalty rewards management system,1,loyalty program software open source,1,customer loyalty management system,1
https://www.openloyalty.io/product/cashback,8,7,0,1,0,loyalty cashback,2,cashback software,2,cashback processing automation,1
https://www.openloyalty.io/de,8,4,0,4,0,open loyalty,6,b2b loyalty software,1,openloyalty,1
https://www.openloyalty.io/product/code-scanning,7,5,0,2,0,barcode scanning for loyalty programs,1,loyalty program receipt scanning,1,,0
https://www.openloyalty.io/product-sheet,7,2,0,5,0,open loyalty platform features,2,does open loyalty support gamification mechanics and behavioral rewards for driving customer engagement across digital touchpoints?,2,gamification loyalty software pricing,2
https://www.openloyalty.io/product/loyalty-program-crm-software,6,5,0,1,0,crm & loyalty services,1,crm and customer loyalty,1,channel loyalty software,1
https://www.openloyalty.io/insider/best-retail-loyalty-programs,6,6,0,0,0,10-benefits-outsourcing-customer-loyalty-retail-programs,3,company rewards program,1,retail loyalty programs,1
https://www.openloyalty.io/insider/best-referral-software,6,5,0,1,0,affiliate referral program software,2,affiliate referral software,1,crm referral program,1
https://www.openloyalty.io/book-a-demo-with-us,6,2,0,4,0,,0,,0,,0
https://www.openloyalty.io/insider/bank-loyalty-programs-10-successful-examples-2022,5,2,0,3,0,banks with reward points,1,banking loyalty programs,1,banks loyalty programs,1
https://www.openloyalty.io/product/customer-gamification-software,5,5,0,0,0,gamification platform,1,,0,,0
https://www.openloyalty.io/insider/best-gamification-software,5,2,1,2,0,based on reviews centrical vs. drimify,1,are there services that allow brands to create and manage gamified customer engagement campaigns?,1,,0
https://www.openloyalty.io/insider/ecommerce-loyalty-programs,5,3,0,2,0,apparel loyalty and reward solution,1,best ecommerce loyalty programs,1,ecommerce loyalty,1
https://www.openloyalty.io/product/loyalty-card-system,5,3,0,2,0,loyalty card system,1,#loyaltycard,1,loyalty cards software,1
https://www.openloyalty.io/role/developers,5,2,0,3,0,open loyality,1,open loyalty,1,,0
https://www.openloyalty.io/insider/coupon-management-software,5,2,0,3,0,automated coupon systems,1,are there popular tools that automatically apply coupons?,1,automatic coupon distribution methods,1
https://www.openloyalty.io/insider/healthcare-loyalty-programs,4,2,0,2,0,healthcare loyalty programs,1,acquisition loyalty health beauty,1,identify brands in ehr systems that have a strong track record of customer loyalty and high retention rates.,1
https://www.openloyalty.io/product/loyalty-campaign-software,4,2,0,2,0,loyalty program software,1,customer loyalty software in us,1,open loyalty,1
https://www.openloyalty.io/about,4,4,0,0,0,rewards management platform,1,open loyalty logo,1,,0
https://www.openloyalty.io/product/referral-program-software,4,2,1,1,0,referral programme,1,referral and loyalty programs,1,,0
https://www.openloyalty.io/industries/ecommerce,4,0,1,2,1,boost loyalty io,1,api-basierte loyality plattform für retail-pos- und e-commerce-systeme,1,how to build a loyalty program around your mobile game web shop,1
https://www.openloyalty.io/insider/coffee-loyalty-programs-successful-examples,4,3,0,1,0,apps for coffee shop owners,1,coffee card,1,best coffee shop loyalty programs,1
https://www.openloyalty.io/insider/10-best-mobile-loyalty-program-apps-full-report,4,2,0,2,0,android loyalty card app,1,aplikasi loyalty program,1,"""comparable business models"" ""starbucks mobile app & loyalty"" ""disney magicband""",1
https://www.openloyalty.io/insider/how-to-integrate-an-api-first-loyalty-engine-with-your-tech-stack,4,4,0,0,0,open loyalty,2,api loyalty program,1,,0
https://www.openloyalty.io/technology,3,3,0,0,0,loyalty tech,1,loyalty technology,1,loyalty stack,1
https://www.openloyalty.io/insider/top-10-loyalty-programs-for-sports-clubs,3,2,0,1,0,best fan loyalty tool,1,sports loyalty programs,1,top rated fan loyalty programs for football clubs,1
https://www.openloyalty.io/insider/10-best-gamification-loyalty-programs-full-report,3,1,0,2,0,gamification rewards program,1,"campaign gamification,10",1,,0
https://www.openloyalty.io/resources/loyalty-program-implementation-a-step-by-step-guide,3,2,1,0,0,apparel loyalty and reward solution,1,loylaty program,1,,0
https://www.openloyalty.io/product/multitenancy,3,3,0,0,0,tenant loyalty program,1,multi-tenanted loyalty,1,,0
https://www.openloyalty.io/resources/the-top-40-best-rewards-programs-for-customers-report,3,2,0,1,0,best bulk digital reward platforms for customer survey incentives 2025,1,best rewards,1,10% cash back purchase rewards programs similar to trick or treat,1
https://www.openloyalty.io/insider/sephora-beauty-insider,3,2,0,1,0,beauty insider,2,beauty account,1,,0
https://www.openloyalty.io/insider/rewards-program-software,3,2,0,1,0,"ai integration with crm, pos, and loyalty data platforms",1,incentive program software,1,evaluate the fintech company paypay on loyalty software,1
https://www.openloyalty.io/insider/loyalty-programs-in-fuel-retail,2,2,0,0,0,fuel loyalty programs,1,gas station loyalty programs,1,,0
https://www.openloyalty.io/product/digital-wallet-software,2,1,1,0,0,digital wallet loyalty programs,1,loyalty card digital wallet,1,,0
https://www.openloyalty.io/clients/u-s-soccer,2,0,0,2,0,us soccer insiders,1,,0,,0
https://www.openloyalty.io/insider/headless-loyalty-software,2,1,0,1,0,api driven loyalty platform,1,headless loyalty software,1,,0
https://www.openloyalty.io/clients,2,0,0,2,0,loyalty program case studies,1,,0,,0
https://www.openloyalty.io/insider/how-duolingos-gamification-mechanics-drive-customer-loyalty,2,0,0,2,0,duolingo engagement,1,building loyalty with gamification,1,,0
https://www.openloyalty.io/insider/gamification-healthcare,2,1,0,1,0,gamification news 2025,1,digital health gamification,1,,0
https://www.openloyalty.io/resources/loyalty-program-roi,2,1,0,1,0,how to calculate roi for loyalty programs,1,card offer roi analysis,1,,0
https://www.openloyalty.io/product/badges,2,2,0,0,0,loyalty badges,1,,0,,0
https://www.openloyalty.io/insider/loyalty-program-metrics-measuring-the-health-of-your-loyalty-program,2,1,0,1,0,loyalty program metrics,1,"""assess whether an account is engaged"" loyalty program",1,,0
https://www.openloyalty.io/product/leaderboard-software,2,1,0,1,0,leaderboard software,1,cost of implementing live leaderboard software,1,,0
https://www.openloyalty.io/insider/coalition-loyalty-programs,2,2,0,0,0,coalition loyalty programs,1,coalition loyalty program,1,,0
https://www.openloyalty.io/insider/gift-cards,2,1,0,1,0,gift card reward programs,1,gift card distribution,1,,0
https://www.openloyalty.io/technology/cloud-loyalty,2,1,0,1,0,cloud based loyalty,1,cloud loyalty software,1,,0
https://www.openloyalty.io/clients/club-brugge,2,0,0,2,0,club brugge loyalty,1,,0,,0
https://www.openloyalty.io/insider/effective-tiered-loyalty-programs,2,0,0,2,0,types of customer loyalty programs structures for businesses,1,benefits of tiered loyalty program,1,,0
https://www.openloyalty.io/role/product,2,1,0,1,0,does open loyalty support gamification mechanics and behavioral rewards for driving customer engagement across digital touchpoints?,1,end-to-end loyalty product development,1,,0
https://www.openloyalty.io/insider/top-7-cpg-loyalty-programs,1,1,0,0,0,cpg loyalty programs,1,,0,,0
https://www.openloyalty.io/insider/how-to-extend-your-product-with-api-first-loyalty-and-gamification-features,1,1,0,0,0,gamification api,1,,0,,0
https://www.openloyalty.io/clients/ottopoint,1,1,0,0,0,,0,,0,,0
https://www.openloyalty.io/webinars/webinar-product-managers-guide-to-loyalty-program-implementation,1,0,0,1,0,,0,,0,,0
https://www.openloyalty.io/insider/how-to-build-loyalty-program,1,1,0,0,0,design a loyalty program,1,,0,,0
https://www.openloyalty.io/loyalty-builders,1,1,0,0,0,boost loyalty io,1,,0,,0
https://www.openloyalty.io/insider/how-to-build-a-successful-mall-loyalty-program-an-interview-with-chayya-sakhuja,1,1,0,0,0,dubai mall loyalty program,1,,0,,0
https://www.openloyalty.io/insider/how-the-nike-customer-loyalty-program-works,1,1,0,0,0,,0,,0,,0
https://www.openloyalty.io/insider/the-rise-of-blockchain-loyalty-programs-with-cezary-olejarczyk,1,1,0,0,0,cryptocurrency loyalty program,1,,0,,0
https://www.openloyalty.io/insider/client-retention-management-strategies,1,1,0,0,0,"""customer retention strategies""",1,,0,,0
https://www.openloyalty.io/insider/emotional-loyalty-programs-that-connect-deeply-with-customers,1,0,1,0,0,,0,,0,,0
https://www.openloyalty.io/role/loyalty-marketer,1,0,0,1,0,limango marketing,1,,0,,0
https://www.openloyalty.io/insider/how-to-solve-the-build-vs-buy-dilemma-when-building-a-loyalty-solution,1,0,0,1,0,,0,,0,,0
https://www.openloyalty.io/product/prepaid-gift-card-software,1,1,0,0,0,gift card software programs,1,,0,,0
https://www.openloyalty.io/insider/loyalty-rewards-management,1,1,0,0,0,are gas discount programs offered nationwide?,1,,0,,0
https://www.openloyalty.io/insider/successful-referral-program,1,1,0,0,0,,0,,0,,0
https://www.openloyalty.io/product/tier-loyalty-program,1,1,0,0,0,,0,,0,,0
https://www.openloyalty.io/insider/automotive-loyalty-programs,1,1,0,0,0,automotive rewards programs,1,,0,,0
https://www.openloyalty.io/industries/retail,1,1,0,0,0,loyalty,1,,0,,0
https://www.openloyalty.io/insider/redemption-rate,1,1,0,0,0,loyalty redemption,1,,0,,0
https://www.openloyalty.io/resources/loyalty-program-software-rfp,1,1,0,0,0,api management rfp,1,,0,,0
https://www.openloyalty.io/clients/club-brugge-full-case-study,1,1,0,0,0,,0,,0,,0
https://www.openloyalty.io/insider/loyalty-and-crm,1,1,0,0,0,crm and loyalty,1,,0,,0
https://www.openloyalty.io/insider/loyalty-program-management,1,1,0,0,0,loyalty program management,1,,0,,0
https://www.openloyalty.io/webinars/video-how-retailers-use-gamified-loyalty-to-outperform-competitors,1,1,0,0,0,kacper cebo,1,,0,,0
https://www.openloyalty.io/product/customer-loyalty-analytics,1,1,0,0,0,advance loyalty scheme,1,,0,,0
https://www.openloyalty.io/insider/gamification-case-studies,1,0,0,0,1,,0,,0,,0
https://www.openloyalty.io/%20(Open%20Loyalty),1,1,0,0,0,,0,,0,,0
https://www.openloyalty.io/product/customer-retention-software,1,0,0,1,0,,0,,0,,0
https://www.openloyalty.io/applications,1,0,0,1,0,openloyalty.io,1,,0,,0
https://www.openloyalty.io/ai-labs,1,0,0,1,0,,0,,0,,0
https://www.openloyalty.io/insider/business-gamification,1,0,0,1,0,best platforms for support team gamification,1,,0,,0
https://www.openloyalty.io/insider/loyalty-program-liability-with-len-llaguno,1,0,0,1,0,acturial loyalty programs,1,,0,,0
https://www.openloyalty.io/product/games-of-chance,1,1,0,0,0,best loyalty management software for small business,1,,0,,0
https://www.openloyalty.io/news/open-loyalty-braze-integration-partnership,1,0,0,1,0,,0,,0,,0
https://www.openloyalty.io/applications/mobile-loyalty-software,1,0,0,1,0,,0,,0,,0
https://www.openloyalty.io/insider/loyalty-software-buyers-full-report,1,0,0,1,0,does open loyalty support gamification mechanics and behavioral rewards for driving customer engagement across digital touchpoints?,1,,0,,0
https://www.openloyalty.io/resources/loyalty-program-benchmark,1,0,0,1,0,,0,,0,,0
https://www.openloyalty.io/industries/qsr,1,1,0,0,0,,0,,0,,0
